,experiment,date,hour,device_make,platform_os,response
0,1,1,16,13,1,1
1,0,5,4,43,1,1
2,0,0,15,13,1,1
3,1,6,13,65,1,1
4,1,2,6,13,1,1
5,0,1,16,13,1,1
6,0,6,20,64,1,1
7,1,1,11,76,1,1
8,1,2,2,13,1,1
9,0,4,15,13,1,1
10,0,0,15,5,1,1
11,1,6,1,13,1,1
12,0,5,18,13,1,1
13,0,1,19,13,1,1
14,1,5,20,13,1,1
15,1,5,6,13,1,1
16,0,0,15,13,1,1
17,1,7,15,13,1,1
18,1,5,20,13,1,1
19,1,5,20,13,1,1
20,1,5,21,13,1,1
21,1,2,21,13,1,1
22,0,2,10,68,1,1
23,0,5,14,13,1,1
24,0,0,15,43,1,1
25,1,5,21,47,1,1
26,0,0,15,21,1,1
27,1,1,0,46,1,1
28,1,2,3,13,1,1
29,0,0,15,66,1,1
30,1,5,16,13,1,1
31,0,0,15,13,1,1
32,1,6,6,48,1,1
33,0,0,15,68,1,1
34,0,2,0,13,1,1
35,0,6,12,13,1,1
36,1,6,14,13,1,1
37,0,5,22,66,1,1
38,0,4,3,13,1,1
39,0,7,13,72,1,1
40,1,0,8,44,1,1
41,0,0,15,64,1,1
42,1,0,9,13,1,1
43,1,5,15,13,1,1
44,1,7,17,13,1,1
45,0,0,15,13,1,1
46,1,6,19,13,1,1
47,0,0,15,56,1,1
48,1,1,9,13,1,1
49,0,7,5,13,1,1
50,0,0,15,29,1,1
51,0,0,15,81,1,1
52,1,1,16,88,1,1
53,0,0,15,13,1,1
54,1,7,15,61,1,1
55,0,0,15,13,1,1
56,1,3,0,33,1,1
57,1,5,17,13,1,1
58,0,3,3,26,1,1
59,1,4,23,13,1,1
60,0,5,16,13,1,1
61,0,0,15,13,1,1
62,1,1,16,13,1,1
63,1,6,2,66,1,1
64,0,0,15,66,1,1
65,1,4,20,47,1,1
66,0,2,4,13,1,1
67,1,6,8,13,1,1
68,1,1,14,68,1,1
69,1,1,8,27,1,1
70,1,7,0,13,1,1
71,1,3,1,48,1,1
72,0,1,3,86,1,1
73,1,0,6,27,1,1
74,0,0,15,73,1,1
75,1,1,16,13,1,1
76,0,0,15,13,1,1
77,0,7,15,13,1,1
78,1,2,13,69,1,1
79,0,7,16,13,1,1
80,1,6,13,27,1,1
81,1,6,5,13,1,1
82,1,1,6,13,1,1
83,0,0,15,64,1,1
84,1,6,22,13,1,1
85,0,0,15,13,1,1
86,0,0,15,13,1,1
87,0,4,20,13,1,1
88,1,5,18,62,1,1
89,0,6,6,13,1,1
90,0,6,22,13,1,1
91,1,7,11,41,1,1
92,1,5,20,13,1,1
93,0,7,9,13,1,1
94,0,3,8,13,1,1
95,1,6,7,77,1,1
96,1,6,3,13,1,1
97,0,0,15,65,1,1
98,1,0,10,13,1,1
99,1,1,14,13,1,1
100,1,3,8,13,1,1
101,1,5,17,21,1,1
102,0,0,15,54,1,1
103,0,0,15,36,1,1
104,1,2,8,90,1,1
105,1,5,15,13,1,1
106,1,6,9,13,1,1
107,1,6,14,13,1,1
108,0,1,2,13,1,1
109,1,5,19,68,1,1
110,0,0,15,13,1,1
111,0,7,6,13,1,1
112,1,2,15,66,1,1
113,1,1,19,13,1,1
114,1,0,9,13,1,1
115,0,0,15,55,1,1
116,0,7,0,26,1,1
117,1,7,6,5,1,1
118,1,3,3,71,1,1
119,1,6,10,13,1,1
120,0,0,15,33,1,1
121,0,2,10,13,1,1
122,1,7,8,73,1,1
123,0,0,15,13,1,1
124,0,0,15,66,1,1
125,0,1,20,71,1,1
126,1,1,14,13,1,1
127,1,6,6,68,1,1
128,1,6,21,113,1,1
129,1,5,13,13,1,1
130,0,1,8,13,1,1
131,1,6,6,13,1,1
132,0,6,11,13,1,1
133,0,0,15,13,1,1
134,1,6,18,68,1,1
135,1,1,10,13,1,1
136,0,7,12,1,1,1
137,0,4,8,67,1,1
138,0,7,6,72,1,1
139,0,4,10,13,1,1
140,0,5,21,21,1,1
141,0,7,2,13,1,1
142,1,0,10,87,1,1
143,0,0,15,13,1,1
144,0,0,15,1,1,1
145,0,7,4,13,1,1
146,0,0,15,78,1,1
147,0,5,21,47,1,1
148,0,0,15,47,1,1
149,0,0,15,13,1,1
150,1,2,0,13,1,1
151,1,5,16,13,1,1
152,1,2,12,18,1,1
153,0,7,8,54,1,1
